timetag,sensor,service,PID,param_A,param_B,calc_value
16891,AvgFuelRate_custom,0X0,0X0,0,0,inf
16891,BoostPress_custom,0X0,0X0,0,0,-5.00
16972,CoolantTemp,0X1,0X5,144,0,104.00
17041,OilTemp,0X22,0X5822,165,0,105.00
17131,OilPress,0X22,0X586f,2795,0,10230.00
17211,FuelPress,0X1,0X23,506,0,1295460.00
17280,MAP,0X1,0Xb,95,0,95.00
17355,BaroPress,0X1,0X33,0,0,100.00
17435,RunTime,0X1,0X1f,48,0,48.00
17835,AFR,0X1,0X44,0,0,1.00
17910,MAF,0X1,0X10,278,0,712.00
17986,RPM,0X1,0Xc,0,0,806.50
18061,EngineLoad,0X1,0X4,0,0,21.57
18061,InstFuelRate_custom,0X0,0X0,0,0,inf
18061,AvgFuelRate_custom,0X0,0X0,0,0,inf
18061,BoostPress_custom,0X0,0X0,0,0,-5.00
18140,CoolantTemp,0X1,0X5,144,0,104.00
18225,OilTemp,0X22,0X5822,165,0,105.00
18306,OilPress,0X22,0X586f,2776,0,10160.00
18380,FuelPress,0X1,0X23,512,0,1310820.00
18457,MAP,0X1,0Xb,95,0,95.00
18530,BaroPress,0X1,0X33,0,0,100.00
18605,RunTime,0X1,0X1f,49,0,49.00
18685,AFR,0X1,0X44,0,0,1.00
18765,MAF,0X1,0X10,295,0,756.00
18840,RPM,0X1,0Xc,0,0,791.00
18915,EngineLoad,0X1,0X4,0,0,22.75
18915,InstFuelRate_custom,0X0,0X0,0,0,inf
18915,AvgFuelRate_custom,0X0,0X0,0,0,inf
18915,BoostPress_custom,0X0,0X0,0,0,-5.00
19000,CoolantTemp,0X1,0X5,144,0,104.00
19080,OilTemp,0X22,0X5822,165,0,105.00
19161,OilPress,0X22,0X586f,2749,0,10060.00
19231,FuelPress,0X1,0X23,513,0,1313380.00
19305,MAP,0X1,0Xb,95,0,95.00
19385,BaroPress,0X1,0X33,0,0,100.00
19460,RunTime,0X1,0X1f,50,0,50.00
19855,AFR,0X1,0X44,0,0,1.00
19935,MAF,0X1,0X10,278,0,712.00
20010,RPM,0X1,0Xc,0,0,808.50
20085,EngineLoad,0X1,0X4,0,0,21.57
20085,InstFuelRate_custom,0X0,0X0,0,0,inf
20085,AvgFuelRate_custom,0X0,0X0,0,0,inf
20085,BoostPress_custom,0X0,0X0,0,0,-5.00
20170,CoolantTemp,0X1,0X5,144,0,104.00
20245,OilTemp,0X22,0X5822,165,0,105.00
20321,OilPress,0X22,0X586f,2764,0,10116.00
20390,FuelPress,0X1,0X23,521,0,1333860.00
20469,MAP,0X1,0Xb,95,0,95.00
20544,BaroPress,0X1,0X33,0,0,100.00
20625,RunTime,0X1,0X1f,51,0,51.00
20860,AFR,0X1,0X44,0,0,1.00
20935,MAF,0X1,0X10,273,0,699.00
21017,RPM,0X1,0Xc,0,0,803.50
21095,EngineLoad,0X1,0X4,0,0,21.96
21095,InstFuelRate_custom,0X0,0X0,0,0,inf
21095,AvgFuelRate_custom,0X0,0X0,0,0,inf
21095,BoostPress_custom,0X0,0X0,0,0,-5.00
21180,CoolantTemp,0X1,0X5,144,0,104.00
21250,OilTemp,0X22,0X5822,165,0,105.00
21327,OilPress,0X22,0X586f,2723,0,9964.00
21400,FuelPress,0X1,0X23,509,0,1303140.00
21470,MAP,0X1,0Xb,95,0,95.00
21613,BaroPress,0X1,0X33,0,0,100.00
21694,RunTime,0X1,0X1f,52,0,52.00
21775,AFR,0X1,0X44,0,0,1.00
21855,MAF,0X1,0X10,262,0,671.00
21935,RPM,0X1,0Xc,0,0,783.50
22015,EngineLoad,0X1,0X4,0,0,23.14
22015,InstFuelRate_custom,0X0,0X0,0,0,inf
22015,AvgFuelRate_custom,0X0,0X0,0,0,inf
22015,BoostPress_custom,0X0,0X0,0,0,-5.00
22100,CoolantTemp,0X1,0X5,144,0,104.00
22170,OilTemp,0X22,0X5822,165,0,105.00
22247,OilPress,0X22,0X586f,2721,0,9957.00
22321,FuelPress,0X1,0X23,506,0,1295460.00
22401,MAP,0X1,0Xb,95,0,95.00
22469,BaroPress,0X1,0X33,0,0,100.00
22544,RunTime,0X1,0X1f,53,0,53.00
22705,AFR,0X1,0X44,0,0,1.00
22785,MAF,0X1,0X10,276,0,707.00
22860,RPM,0X1,0Xc,0,0,792.50
22930,EngineLoad,0X1,0X4,0,0,22.35
22930,InstFuelRate_custom,0X0,0X0,0,0,inf
22930,AvgFuelRate_custom,0X0,0X0,0,0,inf
22930,BoostPress_custom,0X0,0X0,0,0,-5.00
23010,CoolantTemp,0X1,0X5,144,0,104.00
23085,OilTemp,0X22,0X5822,165,0,105.00
23161,OilPress,0X22,0X586f,2725,0,9972.00
23241,FuelPress,0X1,0X23,512,0,1310820.00
23310,MAP,0X1,0Xb,95,0,95.00
23784,BaroPress,0X1,0X33,0,0,100.00
23863,RunTime,0X1,0X1f,54,0,54.00
23943,AFR,0X1,0X44,0,0,1.00
24023,MAF,0X1,0X10,262,0,671.00
24105,RPM,0X1,0Xc,0,0,796.50
24185,EngineLoad,0X1,0X4,0,0,22.35
24185,InstFuelRate_custom,0X0,0X0,0,0,inf
24185,AvgFuelRate_custom,0X0,0X0,0,0,inf
24185,BoostPress_custom,0X0,0X0,0,0,-5.00
24270,CoolantTemp,0X1,0X5,144,0,104.00
24350,OilTemp,0X22,0X5822,165,0,105.00
24426,OilPress,0X22,0X586f,2709,0,9912.00
24500,FuelPress,0X1,0X23,512,0,1310820.00
24575,MAP,0X1,0Xb,95,0,95.00
24802,BaroPress,0X1,0X33,0,0,100.00
24883,RunTime,0X1,0X1f,55,0,55.00
25031,AFR,0X1,0X44,0,0,1.00
25101,MAF,0X1,0X10,287,0,735.00
25174,RPM,0X1,0Xc,0,0,788.00
25255,EngineLoad,0X1,0X4,0,0,23.14
25255,InstFuelRate_custom,0X0,0X0,0,0,inf
25255,AvgFuelRate_custom,0X0,0X0,0,0,inf
25255,BoostPress_custom,0X0,0X0,0,0,-5.00
25340,CoolantTemp,0X1,0X5,144,0,104.00
25415,OilTemp,0X22,0X5822,165,0,105.00
25495,OilPress,0X22,0X586f,2698,0,9872.00
25570,FuelPress,0X1,0X23,512,0,1310820.00
25645,MAP,0X1,0Xb,95,0,95.00
26043,BaroPress,0X1,0X33,0,0,100.00
26121,RunTime,0X1,0X1f,57,0,57.00
26201,AFR,0X1,0X44,0,0,1.00
26270,MAF,0X1,0X10,270,0,692.00
26352,RPM,0X1,0Xc,0,0,777.00
26420,EngineLoad,0X1,0X4,0,0,24.31
26421,InstFuelRate_custom,0X0,0X0,0,0,inf
26421,AvgFuelRate_custom,0X0,0X0,0,0,inf
26421,BoostPress_custom,0X0,0X0,0,0,-5.00
26510,CoolantTemp,0X1,0X5,144,0,104.00
26580,OilTemp,0X22,0X5822,165,0,105.00
26666,OilPress,0X22,0X586f,2670,0,9768.00
26740,FuelPress,0X1,0X23,517,0,1323620.00
26815,MAP,0X1,0Xb,95,0,95.00
27275,BaroPress,0X1,0X33,0,0,100.00
27355,RunTime,0X1,0X1f,58,0,58.00
27660,AFR,0X1,0X44,0,0,1.00
27745,MAF,0X1,0X10,298,0,763.00
27821,RPM,0X1,0Xc,0,0,775.50
27884,EngineLoad,0X1,0X4,0,0,24.71
27885,InstFuelRate_custom,0X0,0X0,0,0,inf
27885,AvgFuelRate_custom,0X0,0X0,0,0,inf
27885,BoostPress_custom,0X0,0X0,0,0,-5.00
27975,CoolantTemp,0X1,0X5,144,0,104.00
28059,OilTemp,0X22,0X5822,165,0,105.00
28141,OilPress,0X22,0X586f,2639,0,9654.00
28216,FuelPress,0X1,0X23,522,0,1336420.00
28290,MAP,0X1,0Xb,95,0,95.00
28522,BaroPress,0X1,0X33,0,0,100.00
28591,RunTime,0X1,0X1f,59,0,59.00
28750,AFR,0X1,0X44,0,0,1.00
28825,MAF,0X1,0X10,276,0,707.00
28905,RPM,0X1,0Xc,0,0,785.50
28980,EngineLoad,0X1,0X4,0,0,24.31
28980,InstFuelRate_custom,0X0,0X0,0,0,inf
28980,AvgFuelRate_custom,0X0,0X0,0,0,inf
28980,BoostPress_custom,0X0,0X0,0,0,-5.00
29060,CoolantTemp,0X1,0X5,144,0,104.00
29130,OilTemp,0X22,0X5822,164,0,104.00
29206,OilPress,0X22,0X586f,2654,0,9709.00
29281,FuelPress,0X1,0X23,527,0,1349220.00
29350,MAP,0X1,0Xb,95,0,95.00
30053,BaroPress,0X1,0X33,0,0,100.00
30132,RunTime,0X1,0X1f,61,0,61.00
30676,AFR,0X1,0X44,0,0,1.00
30753,MAF,0X1,0X10,292,0,748.00
30833,RPM,0X1,0Xc,0,0,786.50
30910,EngineLoad,0X1,0X4,0,0,24.31
30910,InstFuelRate_custom,0X0,0X0,0,0,inf
30910,AvgFuelRate_custom,0X0,0X0,0,0,inf
30910,BoostPress_custom,0X0,0X0,0,0,-5.00
30995,CoolantTemp,0X1,0X5,144,0,104.00
31071,OilTemp,0X22,0X5822,164,0,104.00
31146,OilPress,0X22,0X586f,2642,0,9665.00
31222,FuelPress,0X1,0X23,518,0,1326180.00
31300,MAP,0X1,0Xb,95,0,95.00
31754,BaroPress,0X1,0X33,0,0,100.00
31834,RunTime,0X1,0X1f,62,0,62.00
31913,AFR,0X1,0X44,0,0,1.00
31992,MAF,0X1,0X10,262,0,671.00
32061,RPM,0X1,0Xc,0,0,782.00
32135,EngineLoad,0X1,0X4,0,0,24.31
32135,InstFuelRate_custom,0X0,0X0,0,0,inf
32135,AvgFuelRate_custom,0X0,0X0,0,0,inf
32135,BoostPress_custom,0X0,0X0,0,0,-5.00
32220,CoolantTemp,0X1,0X5,144,0,104.00
32296,OilTemp,0X22,0X5822,164,0,104.00
32372,OilPress,0X22,0X586f,2630,0,9621.00
32452,FuelPress,0X1,0X23,520,0,1331300.00
32515,MAP,0X1,0Xb,95,0,95.00
32590,BaroPress,0X1,0X33,0,0,100.00
32665,RunTime,0X1,0X1f,63,0,63.00
32815,AFR,0X1,0X44,0,0,1.00
32897,MAF,0X1,0X10,278,0,712.00
32975,RPM,0X1,0Xc,0,0,786.00
33050,EngineLoad,0X1,0X4,0,0,23.92
33050,InstFuelRate_custom,0X0,0X0,0,0,inf
33050,AvgFuelRate_custom,0X0,0X0,0,0,inf
33050,BoostPress_custom,0X0,0X0,0,0,-5.00
33135,CoolantTemp,0X1,0X5,145,0,105.00
33213,OilTemp,0X22,0X5822,164,0,104.00
33282,OilPress,0X22,0X586f,2648,0,9687.00
33364,FuelPress,0X1,0X23,519,0,1328740.00
33443,MAP,0X1,0Xb,95,0,95.00
33761,BaroPress,0X1,0X33,0,0,100.00
33846,RunTime,0X1,0X1f,64,0,64.00
34086,AFR,0X1,0X44,0,0,1.00
34166,MAF,0X1,0X10,278,0,712.00
34241,RPM,0X1,0Xc,0,0,786.50
34326,EngineLoad,0X1,0X4,0,0,25.10
34326,InstFuelRate_custom,0X0,0X0,0,0,inf
34326,AvgFuelRate_custom,0X0,0X0,0,0,inf
34326,BoostPress_custom,0X0,0X0,0,0,-5.00
34411,CoolantTemp,0X1,0X5,145,0,105.00
34501,OilTemp,0X22,0X5822,164,0,104.00
34572,OilPress,0X22,0X586f,2637,0,9646.00
34651,FuelPress,0X1,0X23,528,0,1351780.00
34726,MAP,0X1,0Xb,95,0,95.00
34886,BaroPress,0X1,0X33,0,0,100.00
34966,RunTime,0X1,0X1f,65,0,65.00
35270,AFR,0X1,0X44,0,0,1.00
35346,MAF,0X1,0X10,292,0,748.00
35421,RPM,0X1,0Xc,0,0,775.00
35496,EngineLoad,0X1,0X4,0,0,26.67
35496,InstFuelRate_custom,0X0,0X0,0,0,inf
35496,AvgFuelRate_custom,0X0,0X0,0,0,inf
35496,BoostPress_custom,0X0,0X0,0,0,-5.00
35580,CoolantTemp,0X1,0X5,145,0,105.00
35656,OilTemp,0X22,0X5822,164,0,104.00
35742,OilPress,0X22,0X586f,2645,0,9676.00
35811,FuelPress,0X1,0X23,516,0,1321060.00
35880,MAP,0X1,0Xb,95,0,95.00
36033,BaroPress,0X1,0X33,0,0,100.00
36113,RunTime,0X1,0X1f,66,0,66.00
36195,AFR,0X1,0X44,0,0,1.00
36270,MAF,0X1,0X10,281,0,720.00
36345,RPM,0X1,0Xc,0,0,772.50
36425,EngineLoad,0X1,0X4,0,0,27.06
36426,InstFuelRate_custom,0X0,0X0,0,0,inf
36426,AvgFuelRate_custom,0X0,0X0,0,0,inf
36426,BoostPress_custom,0X0,0X0,0,0,-5.00
36510,CoolantTemp,0X1,0X5,145,0,105.00
36585,OilTemp,0X22,0X5822,164,0,104.00
36660,OilPress,0X22,0X586f,2706,0,9901.00
36746,FuelPress,0X1,0X23,524,0,1341540.00
36820,MAP,0X1,0Xb,96,0,96.00
37132,BaroPress,0X1,0X33,0,0,100.00
37211,RunTime,0X1,0X1f,68,0,68.00
37441,AFR,0X1,0X44,0,0,1.00
37521,MAF,0X1,0X10,326,0,835.00
37597,RPM,0X1,0Xc,0,0,786.00
37671,EngineLoad,0X1,0X4,0,0,26.27
37671,InstFuelRate_custom,0X0,0X0,0,0,inf
37671,AvgFuelRate_custom,0X0,0X0,0,0,inf
37671,BoostPress_custom,0X0,0X0,0,0,-4.00
37751,CoolantTemp,0X1,0X5,145,0,105.00
37826,OilTemp,0X22,0X5822,164,0,104.00
37902,OilPress,0X22,0X586f,2784,0,10190.00
37980,FuelPress,0X1,0X23,523,0,1338980.00
38071,MAP,0X1,0Xb,95,0,95.00
38145,BaroPress,0X1,0X33,0,0,100.00
38227,RunTime,0X1,0X1f,69,0,69.00
38606,AFR,0X1,0X44,0,0,1.00
38686,MAF,0X1,0X10,323,0,827.00
38760,RPM,0X1,0Xc,0,0,779.00
38835,EngineLoad,0X1,0X4,0,0,27.45
38835,InstFuelRate_custom,0X0,0X0,0,0,inf
38835,AvgFuelRate_custom,0X0,0X0,0,0,inf
38835,BoostPress_custom,0X0,0X0,0,0,-5.00
38920,CoolantTemp,0X1,0X5,145,0,105.00
39001,OilTemp,0X22,0X5822,164,0,104.00
39083,OilPress,0X22,0X586f,2868,0,10500.00
39162,FuelPress,0X1,0X23,521,0,1333860.00
39242,MAP,0X1,0Xb,95,0,95.00
39311,BaroPress,0X1,0X33,0,0,100.00
39386,RunTime,0X1,0X1f,70,0,70.00
39535,AFR,0X1,0X44,0,0,1.00
39616,MAF,0X1,0X10,312,0,799.00
39696,RPM,0X1,0Xc,0,0,765.50
39770,EngineLoad,0X1,0X4,0,0,29.02
39771,InstFuelRate_custom,0X0,0X0,0,0,inf
39771,AvgFuelRate_custom,0X0,0X0,0,0,inf
39771,BoostPress_custom,0X0,0X0,0,0,-5.00
39850,CoolantTemp,0X1,0X5,145,0,105.00
39931,OilTemp,0X22,0X5822,164,0,104.00
40011,OilPress,0X22,0X586f,2915,0,10674.00
40081,FuelPress,0X1,0X23,523,0,1338980.00
40155,MAP,0X1,0Xb,96,0,96.00
40465,BaroPress,0X1,0X33,0,0,100.00
40545,RunTime,0X1,0X1f,71,0,71.00
40941,AFR,0X1,0X44,0,0,1.00
41021,MAF,0X1,0X10,298,0,763.00
41101,RPM,0X1,0Xc,0,0,795.50
41170,EngineLoad,0X1,0X4,0,0,23.92
41170,InstFuelRate_custom,0X0,0X0,0,0,inf
41170,AvgFuelRate_custom,0X0,0X0,0,0,inf
41170,BoostPress_custom,0X0,0X0,0,0,-4.00
41254,CoolantTemp,0X1,0X5,145,0,105.00
41335,OilTemp,0X22,0X5822,164,0,104.00
41416,OilPress,0X22,0X586f,2928,0,10722.00
41497,FuelPress,0X1,0X23,494,0,1264740.00
41572,MAP,0X1,0Xb,98,0,98.00
41652,BaroPress,0X1,0X33,0,0,100.00
41721,RunTime,0X1,0X1f,72,0,72.00
41796,AFR,0X1,0X44,0,0,0.96
41870,MAF,0X1,0X10,889,0,2276.00
41945,RPM,0X1,0Xc,0,0,1259.50
42020,EngineLoad,0X1,0X4,0,0,27.84
42020,InstFuelRate_custom,0X0,0X0,0,0,inf
42020,AvgFuelRate_custom,0X0,0X0,0,0,inf
42020,BoostPress_custom,0X0,0X0,0,0,-2.00
42105,CoolantTemp,0X1,0X5,145,0,105.00
42181,OilTemp,0X22,0X5822,164,0,104.00
42256,OilPress,0X22,0X586f,3539,0,12980.00
42331,FuelPress,0X1,0X23,463,0,1185380.00
42410,MAP,0X1,0Xb,99,0,99.00
42485,BaroPress,0X1,0X33,0,0,100.00
42561,RunTime,0X1,0X1f,73,0,73.00
42705,AFR,0X1,0X44,0,0,0.93
42785,MAF,0X1,0X10,939,0,2404.00
42861,RPM,0X1,0Xc,0,0,959.50
42941,EngineLoad,0X1,0X4,0,0,61.18
42941,InstFuelRate_custom,0X0,0X0,0,0,inf
42941,AvgFuelRate_custom,0X0,0X0,0,0,inf
42941,BoostPress_custom,0X0,0X0,0,0,-1.00
43020,CoolantTemp,0X1,0X5,145,0,105.00
43106,OilTemp,0X22,0X5822,164,0,104.00
43181,OilPress,0X22,0X586f,3162,0,11587.00
43257,FuelPress,0X1,0X23,596,0,1525860.00
43331,MAP,0X1,0Xb,96,0,96.00
43553,BaroPress,0X1,0X33,0,0,100.00
43633,RunTime,0X1,0X1f,74,0,74.00
43955,AFR,0X1,0X44,0,0,0.96
44036,MAF,0X1,0X10,664,0,1700.00
44115,RPM,0X1,0Xc,0,0,1220.50
44196,EngineLoad,0X1,0X4,0,0,25.10
44197,InstFuelRate_custom,0X0,0X0,0,0,inf
44197,AvgFuelRate_custom,0X0,0X0,0,0,inf
44197,BoostPress_custom,0X0,0X0,0,0,-4.00
44281,CoolantTemp,0X1,0X5,145,0,105.00
44351,OilTemp,0X22,0X5822,164,0,104.00
44437,OilPress,0X22,0X586f,3461,0,12692.00
44511,FuelPress,0X1,0X23,590,0,1510500.00
44580,MAP,0X1,0Xb,97,0,97.00
44970,BaroPress,0X1,0X33,0,0,100.00
45056,RunTime,0X1,0X1f,75,0,75.00
45376,AFR,0X1,0X44,0,0,1.00
45462,MAF,0X1,0X10,781,0,2000.00
45541,RPM,0X1,0Xc,0,0,1309.00
45615,EngineLoad,0X1,0X4,0,0,26.27
45616,InstFuelRate_custom,0X0,0X0,0,0,inf
45616,AvgFuelRate_custom,0X0,0X0,0,0,inf
45616,BoostPress_custom,0X0,0X0,0,0,-3.00
45702,CoolantTemp,0X1,0X5,146,0,106.00
45786,OilTemp,0X22,0X5822,164,0,104.00
